trial,length,left_percent,middle_percent,right_percent,correct,actual_handedness
1,14,0.0,50.0,50.0,yes,right
2,32,25.0,34.375,40.625,yes,right
3,27,11.11111111111111,29.629629629629626,59.25925925925925,yes,right
4,20,0.0,20.0,80.0,yes,right
1,14,0.0,50.0,50.0,no,left
2,32,25.0,34.375,40.625,no,left
3,27,11.11111111111111,29.629629629629626,59.25925925925925,yes,left
4,20,0.0,20.0,80.0,yes,left
1,14,0.0,50.0,50.0,yes,right
2,32,25.0,34.375,40.625,no,left
3,27,11.11111111111111,29.629629629629626,59.25925925925925,yes,left
4,20,0.0,20.0,80.0,yes,left
